idrelacionamento_produto,sku,codprod_woo,codprod_lj,estoque,empromo,empresas_idempresas
60274,028799,834,028799,91,NULL,1
60299,028824,1090,028824,5,NULL,1
60305,028830,917,028830,4,NULL,1
60307,028832,1279,028832,2,NULL,1
60317,028842,3724,028842,6,NULL,1
60320,028845,2300,028845,1,NULL,1
60548,029073,2372,029073,84,NULL,1
60628,029153,1947,029153,310,NULL,1
60775,029300,1830,029300,10,NULL,1
60894,029419,3520,029419,5,NULL,1
60984,029509,1390,029509,0,NULL,1
61186,029712,2118,029712,249,NULL,1
61218,029744,3583,029744,27,NULL,1
61516,030042,4258,030042,51,NULL,1
61853,030379,626,030379,0,NULL,1
61874,030400,1293,030400,190,NULL,1
61879,030405,1752,030405,94,NULL,1
62223,030749,3505,030749,0,NULL,1
62604,031130,3677,031130,5,NULL,1
62975,031501,3671,031501,4,NULL,1
63086,031612,3590,031612,46,NULL,1
63611,032137,3335,032137,3,NULL,1
64425,032951,3735,032951,69,NULL,1
64567,033093,3768,033093,728,NULL,1
64617,033143,3739,033143,39,NULL,1
64946,033472,3712,033472,10,NULL,1
65289,033815,3342,033815,90,NULL,1
65291,033817,3620,033817,106,NULL,1
